id,pulled_at,bus_stop_code,bus_stop_name,service_no,estimated_arrival,load_status
1,2026-06-18T13:23:36.531067,9023,Orchard (Opp Orchard Stn/ION),124,2026-06-18T13:31:46+08:00,SEA
2,2026-06-18T13:23:36.531067,9023,Orchard (Opp Orchard Stn/ION),143,2026-06-18T13:37:47+08:00,SEA
3,2026-06-18T13:23:36.531067,9023,Orchard (Opp Orchard Stn/ION),167,2026-06-18T13:30:55+08:00,SEA
4,2026-06-18T13:23:36.531067,9023,Orchard (Opp Orchard Stn/ION),190,2026-06-18T13:29:51+08:00,SEA
5,2026-06-18T13:23:36.531067,9023,Orchard (Opp Orchard Stn/ION),972,2026-06-18T13:28:21+08:00,SEA
6,2026-06-18T13:23:36.531067,9023,Orchard (Opp Orchard Stn/ION),972M,2026-06-18T13:25:17+08:00,SEA
7,2026-06-18T13:23:36.531067,28009,Jurong East Interchange,105,2026-06-18T13:29:00+08:00,SEA
8,2026-06-18T13:23:36.531067,28009,Jurong East Interchange,143,2026-06-18T13:31:00+08:00,SEA
9,2026-06-18T13:23:36.531067,28009,Jurong East Interchange,143M,2026-06-18T13:35:00+08:00,SEA
10,2026-06-18T13:23:36.531067,28009,Jurong East Interchange,183,2026-06-18T13:37:00+08:00,SEA
11,2026-06-18T13:23:36.531067,28009,Jurong East Interchange,197,2026-06-18T13:25:00+08:00,SEA
12,2026-06-18T13:23:36.531067,28009,Jurong East Interchange,333,2026-06-18T13:27:00+08:00,SEA
13,2026-06-18T13:23:36.531067,28009,Jurong East Interchange,334,2026-06-18T13:24:00+08:00,SEA
14,2026-06-18T13:23:36.531067,28009,Jurong East Interchange,335,2026-06-18T13:27:00+08:00,SEA
15,2026-06-18T13:23:36.531067,28009,Jurong East Interchange,41,2026-06-18T13:26:00+08:00,SEA
16,2026-06-18T13:23:36.531067,28009,Jurong East Interchange,49,2026-06-18T13:26:00+08:00,SEA
17,2026-06-18T13:23:36.531067,28009,Jurong East Interchange,506,2026-06-18T13:37:00+08:00,SEA
18,2026-06-18T13:23:36.531067,28009,Jurong East Interchange,51,2026-06-18T13:30:00+08:00,SEA
19,2026-06-18T13:23:36.531067,28009,Jurong East Interchange,52,2026-06-18T13:32:00+08:00,SEA
20,2026-06-18T13:23:36.531067,28009,Jurong East Interchange,66,2026-06-18T13:24:00+08:00,SEA
21,2026-06-18T13:23:36.531067,28009,Jurong East Interchange,98,2026-06-18T13:30:00+08:00,SEA
22,2026-06-18T13:23:36.531067,28009,Jurong East Interchange,98M,2026-06-18T13:38:00+08:00,SEA
23,2026-06-18T13:23:36.531067,28009,Jurong East Interchange,993,2026-06-18T13:35:00+08:00,SEA
24,2026-06-18T13:23:36.531067,75009,Tampines Interchange,10,2026-06-18T13:30:00+08:00,SEA
25,2026-06-18T13:23:36.531067,75009,Tampines Interchange,127,2026-06-18T13:25:00+08:00,SEA
